imageIndex,detectorType,descriptorType,detectorTime(in ms),descriptorTime(in ms),detectectedKeypoints,avg neighborood size,matchedKeypoints,totalTime(in ms),matches/ms,
4,ORB,BRIEF,6.18896,31.603,109,56.7442,48,37.7919,1.27011
5,ORB,BRIEF,6.34987,33.4481,125,56.6367,45,39.798,1.13071
6,ORB,BRIEF,6.04799,33.8907,130,56.7683,54,39.9387,1.35207
7,ORB,BRIEF,6.27175,35.3571,129,55.4296,53,41.6288,1.27316
8,ORB,BRIEF,6.46883,36.1406,127,54.6723,51,42.6095,1.19692
9,ORB,BRIEF,6.12826,34.1779,128,54.3885,55,40.3061,1.36456

imageIndex,detectorType,descriptorType,detectorTime(in ms),descriptorTime(in ms),detectectedKeypoints,avg neighborood size,matchedKeypoints,totalTime(in ms),matches/ms,
0,AKAZE,BRIEF,44.9541,19.115,166,7.72918,NA,64.0691,
1,AKAZE,BRIEF,41.4068,18.5034,157,7.49021,94,59.9102,1.56902
2,AKAZE,BRIEF,43.9793,17.8684,161,7.45212,95,61.8477,1.53603
3,AKAZE,BRIEF,41.3281,19.4197,155,7.57523,88,60.7478,1.44861
4,AKAZE,BRIEF,43.934,17.6197,163,7.73319,86,61.5537,1.39715
5,AKAZE,BRIEF,42.3916,22.613,164,7.68804,86,65.0045,1.32298
6,AKAZE,BRIEF,40.5748,18.5411,173,7.73879,98,59.1159,1.65776
7,AKAZE,BRIEF,41.4684,18.2655,175,7.82613,101,59.734,1.69083
8,AKAZE,BRIEF,41.3719,18.4104,177,7.81556,117,59.7823,1.9571
9,AKAZE,BRIEF,43.3619,19.0737,179,7.88576,114,62.4357,1.82588


imageIndex,detectorType,descriptorType,detectorTime(in ms),descriptorTime(in ms),detectectedKeypoints,avg neighborood size,matchedKeypoints,totalTime(in ms),matches/ms,
0,HARRIS,ORB,13.8526,15.6198,17,6,NA,29.4724,
1,HARRIS,ORB,8.80661,10.057,14,6,11,18.8636,0.583134
2,HARRIS,ORB,7.70102,11.2359,18,6,10,18.9369,0.528069
3,HARRIS,ORB,7.76346,11.0473,21,6,12,18.8107,0.637933
4,HARRIS,ORB,8.49554,12.4772,26,6,14,20.9727,0.667534
5,HARRIS,ORB,15.5235,11.7834,43,6,17,27.3069,0.622553
6,HARRIS,ORB,7.94139,12.0698,18,6,14,20.0112,0.699609
7,HARRIS,ORB,9.33856,13.6514,31,6,11,22.9899,0.47847
8,HARRIS,ORB,8.90856,11.0817,26,6,20,19.9902,1.00049
9,HARRIS,ORB,11.3729,11.4661,34,6,19,22.839,0.83191

imageIndex,detectorType,descriptorType,detectorTime(in ms),descriptorTime(in ms),detectectedKeypoints,avg neighborood size,matchedKeypoints,totalTime(in ms),matches/ms,
0,SHITOMASI,ORB,8.16403,13.0057,125,4,NA,21.1697,
1,SHITOMASI,ORB,8.7599,11.0687,118,4,73,19.8286,3.68155
2,SHITOMASI,ORB,8.52704,11.72,123,4,70,20.2471,3.45729
3,SHITOMASI,ORB,9.12811,12.4922,120,4,65,21.6203,3.00643
4,SHITOMASI,ORB,8.1383,11.4857,120,4,72,19.624,3.66898
5,SHITOMASI,ORB,8.57588,13.0395,113,4,62,21.6154,2.86832
6,SHITOMASI,ORB,8.3522,12.5649,114,4,62,20.9171,2.96408
7,SHITOMASI,ORB,8.16144,11.8352,123,4,74,19.9966,3.70063
8,SHITOMASI,ORB,8.33111,11.7249,111,4,73,20.0561,3.6398
9,SHITOMASI,ORB,8.20376,11.5879,112,4,71,19.7916,3.58737

imageIndex,detectorType,descriptorType,detectorTime(in ms),descriptorTime(in ms),detectectedKeypoints,avg neighborood size,matchedKeypoints,totalTime(in ms),matches/ms,
0,SIFT,ORB,82.2674,63.0825,138,4.98471,NA,145.35,
1,SIFT,ORB,74.1498,59.5704,132,5.0898,45,133.72,0.336524
2,SIFT,ORB,75.1814,58.7231,124,4.93927,48,133.904,0.358464
3,SIFT,ORB,76.0775,60.4642,137,4.73122,53,136.542,0.38816
4,SIFT,ORB,75.427,60.5507,134,4.71959,57,135.978,0.419186
5,SIFT,ORB,75.747,60.4406,140,4.68397,53,136.188,0.389169
6,SIFT,ORB,65.0396,60.208,137,5.40797,45,125.248,0.359288
7,SIFT,ORB,65.1546,61.5396,148,4.62187,42,126.694,0.331507
8,SIFT,ORB,76.3432,60.5649,159,5.51997,64,136.908,0.467467
9,SIFT,ORB,76.6695,59.6779,137,5.6251,62,136.347,0.454721

imageIndex,detectorType,descriptorType,detectorTime(in ms),descriptorTime(in ms),detectectedKeypoints,avg neighborood size,matchedKeypoints,totalTime(in ms),matches/ms,
0,FAST,ORB,0.682678,16.2532,149,7,NA,16.9359,
1,FAST,ORB,0.622918,14.0391,152,7,82,14.662,5.59269
2,FAST,ORB,0.614306,14.5379,150,7,84,15.1522,5.54375
3,FAST,ORB,0.608846,13.816,155,7,67,14.4249,4.64476
4,FAST,ORB,0.589328,14.3903,149,7,81,14.9796,5.40735
5,FAST,ORB,0.632561,13.753,149,7,70,14.3856,4.86598
6,FAST,ORB,0.745922,14.3263,156,7,83,15.0722,5.50683
7,FAST,ORB,0.614916,14.3868,150,7,90,15.0017,5.99933
8,FAST,ORB,0.605004,13.3997,138,7,86,14.0047,6.1408
9,FAST,ORB,0.617124,13.8821,143,7,86,14.4992,5.93135

imageIndex,detectorType,descriptorType,detectorTime(in ms),descriptorTime(in ms),detectectedKeypoints,avg neighborood size,matchedKeypoints,totalTime(in ms),matches/ms,
0,BRISK,ORB,29.9888,24.6428,264,21.5492,NA,54.6316,
1,BRISK,ORB,30.3611,24.7167,282,21.7853,71,55.0778,1.28908
2,BRISK,ORB,30.285,25.7021,282,21.6509,75,55.9871,1.33959
3,BRISK,ORB,33.971,26.3412,277,20.3583,66,60.3122,1.09431
4,BRISK,ORB,38.2816,28.3011,297,22.5911,60,66.5826,0.901136
5,BRISK,ORB,39.1831,27.242,279,22.9442,48,66.4251,0.722619
6,BRISK,ORB,38.7777,27.7719,289,21.8014,82,66.5496,1.23216
7,BRISK,ORB,39.8877,28.8431,272,22.1472,69,68.7308,1.00392
8,BRISK,ORB,38.454,27.4095,266,22.5558,66,65.8635,1.00207
9,BRISK,ORB,38.6145,27.4352,254,22.0389,75,66.0497,1.13551

